fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,classification
Saul Elizondo,"5' 7""",135 lbs.,,,"Jul 17, 1985",2.07,30%,4.93,48%,2.00,100%,66%,1.0,submission specialist
Justin Eilers,"6' 1""",235 lbs.,,Orthodox,"Jun 28, 1978",2.86,43%,5.66,49%,0.82,25%,50%,0.0,striker
Jake Ellenberger,"5' 9""",170 lbs.,"71""",Orthodox,"Mar 28, 1985",2.47,39%,2.83,60%,2.04,47%,86%,0.4,striker
Darren Elkins,"5' 10""",145 lbs.,"71""",Orthodox,"May 16, 1984",3.50,38%,3.08,52%,2.70,33%,58%,1.2,submission specialist
Joe Ellenberger,"5' 9""",155 lbs.,"72""",Orthodox,"Mar 28, 1985",1.62,47%,3.45,48%,3.17,40%,0%,1.1,submission specialist
Eddy Ellis,"5' 9""",170 lbs.,,Orthodox,,3.40,69%,1.53,68%,4.00,66%,50%,2.0,submission specialist
Lisa Ellis,"5' 4""",115 lbs.,,,"Nov 15, 1982",1.68,48%,2.32,57%,4.19,63%,50%,0.6,grappler
Tim Elliott,"5' 7""",125 lbs.,"66""",Southpaw,"Dec 24, 1986",3.35,45%,2.49,59%,4.01,49%,58%,1.1,submission specialist
Aaron Ely,"5' 8""",135 lbs.,,,"Mar 18, 1989",0.82,15%,0.66,69%,2.47,100%,50%,4.9,submission specialist
Aleksander Emelianenko,"6' 6""",255 lbs.,,Orthodox,"Aug 02, 1981",2.75,41%,1.70,65%,2.32,72%,66%,0.9,striker
Rob Emerson,"5' 9""",155 lbs.,"70""",Orthodox,"Jul 30, 1981",2.50,30%,2.83,64%,2.02,52%,65%,0.4,striker
Ramazan Emeev,"5' 10""",170 lbs.,"76""",Southpaw,"May 23, 1987",2.50,45%,1.98,66%,2.33,29%,66%,0.5,striker
Josh Emmett,"5' 6""",145 lbs.,"70""",Orthodox,"Mar 04, 1985",4.32,39%,4.02,63%,1.43,47%,50%,0.1,striker
Jamall Emmers,"5' 10""",145 lbs.,"74""",Orthodox,"Jul 24, 1989",5.75,52%,4.65,54%,2.90,53%,100%,0.0,striker
Fedor Emelianenko,"6' 0""",230 lbs.,"74""",Orthodox,"Sep 28, 1976",3.18,51%,1.00,63%,2.00,63%,82%,1.9,submission specialist
Marius Enache,"5' 11""",155 lbs.,,,"Oct 16, 1975",1.71,34%,0.66,84%,3.94,100%,0%,3.9,submission specialist
Oliver Enkamp,"6' 0""",170 lbs.,"77""",Switch,"Aug 10, 1991",2.38,36%,3.55,37%,0.87,16%,0%,0.0,striker
Tom Erikson,"6' 3""",280 lbs.,,Orthodox,,0.94,47%,1.87,25%,4.68,60%,100%,6.2,submission specialist
Julian Erosa,"6' 1""",145 lbs.,"74""",Southpaw,"Jul 31, 1989",5.07,47%,5.72,50%,1.32,54%,58%,0.9,striker
Nick Ertl,"5' 9""",155 lbs.,,,,1.34,69%,1.59,41%,1.88,50%,0%,0.0,grappler
Chel Erwin-Davis,"6' 0""",170 lbs.,,,,4.06,54%,1.13,61%,4.25,100%,50%,1.4,submission specialist
Cole Escovedo,"5' 7""",135 lbs.,"72""",Orthodox,"Aug 30, 1981",1.77,43%,4.32,49%,0.43,33%,13%,0.0,striker
Efrain Escudero,"5' 9""",155 lbs.,"71""",Orthodox,"Jan 15, 1986",2.92,44%,2.30,63%,1.31,40%,66%,0.8,striker
Carla Esparza,"5' 1""",115 lbs.,"63""",Orthodox,"Oct 10, 1987",2.29,42%,2.85,53%,3.44,35%,48%,0.3,grappler
Juan Espino,"6' 3""",250 lbs.,"80""",,"Oct 09, 1980",4.32,80%,0.54,42%,14.19,77%,0%,6.1,submission specialist
Jodie Esquibel,"5' 1""",115 lbs.,"64""",Orthodox,"May 07, 1986",4.10,31%,7.37,52%,0.75,21%,83%,0.0,striker
Jordan Espinosa,"5' 6""",125 lbs.,"69""",Orthodox,"Nov 08, 1989",4.22,52%,2.94,57%,0.75,28%,70%,0.2,striker
Terry Etim,"6' 1""",155 lbs.,"73""",Orthodox,"Jan 11, 1986",2.16,35%,2.53,67%,0.43,30%,39%,1.4,submission specialist
Sijara Eubanks,"5' 4""",135 lbs.,"67""",Orthodox,"Apr 27, 1985",4.52,43%,3.69,57%,1.88,46%,65%,0.4,striker
Billy Evangelista,"5' 8""",155 lbs.,"68""",Orthodox,"Oct 07, 1980",4.51,40%,3.96,61%,1.60,19%,61%,0.2,striker
Rashad Evans,"6' 0""",205 lbs.,"75""",Orthodox,"Sep 25, 1979",2.14,37%,2.42,63%,2.98,44%,73%,0.0,grappler
Doug Evans,"5' 9""",155 lbs.,,Orthodox,"Oct 10, 1980",1.79,35%,2.55,55%,3.19,83%,69%,0.6,grappler
Ashlee Evans-Smith,"5' 8""",135 lbs.,"67""",Orthodox,"Jul 09, 1987",4.54,34%,4.69,55%,1.10,23%,66%,0.0,striker
Tonya Evinger,"5' 7""",135 lbs.,"70""",Orthodox,"Jun 04, 1981",1.16,42%,4.02,38%,0.93,30%,33%,0.9,striker
Andre Ewell,"5' 8""",135 lbs.,"75""",Southpaw,"Jan 21, 1988",4.42,41%,4.25,52%,0.29,66%,70%,0.1,striker
Movsar Evloev,"5' 7""",145 lbs.,"72""",Orthodox,"Feb 11, 1994",4.70,44%,2.83,64%,2.75,37%,70%,0.0,striker
Neal Ewing,,185 lbs.,,,"Sep 30, 1985",2.27,60%,1.93,48%,5.00,62%,0%,0.0,grappler
Edward Faaloloto,,155 lbs.,"70""",,"Jul 15, 1984",2.28,32%,6.25,44%,1.01,25%,33%,0.0,striker
Jessica Eye,"5' 6""",125 lbs.,"66""",Orthodox,"Jul 27, 1986",3.76,37%,4.01,55%,0.45,40%,57%,0.5,striker
Wagnney Fabiano,"5' 6""",145 lbs.,"69""",Southpaw,"Jul 14, 1975",1.19,38%,0.66,70%,3.44,64%,100%,0.4,grappler
Urijah Faber,"5' 6""",135 lbs.,"67""",Orthodox,"May 14, 1979",2.65,40%,2.59,64%,1.54,30%,58%,0.8,striker
Bartosz Fabinski,"6' 0""",170 lbs.,"75""",Orthodox,"Apr 26, 1986",2.20,69%,1.35,53%,7.08,69%,80%,0.0,grappler
Maiquel Falcao,"5' 11""",185 lbs.,,Orthodox,"Mar 08, 1981",1.67,55%,0.53,86%,1.00,100%,71%,3.0,submission specialist
Brodie Farber,"6' 1""",170 lbs.,,Orthodox,"Jul 05, 1980",1.69,45%,2.17,53%,0.90,50%,20%,0.9,striker
Joao Paulo Faria,"5' 9""",155 lbs.,,,,6.69,64%,2.09,85%,1.25,50%,0%,1.2,submission specialist
Chance Farrar,"5' 9""",145 lbs.,,Southpaw,"Sep 11, 1975",0.81,22%,2.21,67%,3.02,100%,0%,0.0,grappler
Kalindra Faria,"5' 7""",125 lbs.,,Switch,"Jul 23, 1986",2.23,56%,1.44,45%,1.31,66%,20%,0.7,striker
Rodney Faverus,"6' 0""",215 lbs.,,Southpaw,,2.30,53%,1.60,54%,4.50,100%,25%,0.0,grappler
Paul Felder,"5' 11""",155 lbs.,"70""",Orthodox,"Apr 25, 1984",3.70,44%,3.44,48%,0.29,28%,64%,0.2,striker
Kevin Ferguson,"6' 2""",235 lbs.,"77""",Orthodox,"Feb 08, 1974",2.30,50%,3.41,38%,3.10,72%,36%,1.2,submission specialist
Josh Ferguson,"5' 5""",125 lbs.,,Orthodox,"May 13, 1988",2.13,43%,4.18,32%,0.59,11%,54%,0.0,striker
Tony Ferguson,"5' 11""",155 lbs.,"76""",Orthodox,"Feb 12, 1984",5.46,45%,3.94,59%,0.45,42%,70%,1.1,submission specialist
Bibiano Fernandes,"5' 7""",139 lbs.,,Orthodox,"Mar 30, 1980",2.91,40%,2.02,72%,3.97,53%,77%,0.6,grappler
Cezar Ferreira,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 15, 1985",1.90,42%,2.44,53%,2.69,53%,84%,0.5,grappler
Diego Ferreira,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 18, 1985",4.85,37%,3.26,58%,0.89,26%,68%,0.9,striker
Drew Fickett,"5' 10""",155 lbs.,"70""",Orthodox,"Dec 14, 1979",2.33,41%,2.29,57%,1.30,35%,30%,2.2,submission specialist
Deiveson Figueiredo,"5' 5""",125 lbs.,"68""",Orthodox,"Dec 18, 1987",3.38,56%,3.35,50%,1.57,50%,61%,2.4,submission specialist
Francisco Figueiredo,"5' 6""",135 lbs.,"69""",Southpaw,"Oct 23, 1989",1.93,54%,2.07,76%,4.00,66%,100%,0.0,grappler
Edwin Figueroa,"5' 7""",135 lbs.,"69""",Orthodox,"Jul 31, 1984",2.57,39%,3.06,51%,0.20,100%,37%,0.6,striker
Paulo Filho,"5' 8""",185 lbs.,,Southpaw,"May 24, 1978",1.86,48%,1.67,66%,2.40,32%,42%,1.6,submission specialist
Andre Fili,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990",3.73,36%,3.90,52%,2.50,49%,64%,0.2,striker
Brady Fink,"6' 0""",183 lbs.,,Orthodox,,1.69,41%,1.69,61%,3.63,25%,0%,3.6,submission specialist
Jan Finney,"5' 8""",135 lbs.,,Orthodox,,2.16,28%,8.75,42%,0.77,11%,25%,0.0,striker
Mirko Filipovic,"6' 2""",230 lbs.,"73""",Southpaw,"Sep 10, 1974",2.11,50%,1.89,63%,0.19,40%,78%,0.3,striker
Luigi Fioravanti,"5' 8""",170 lbs.,"70""",Orthodox,"Jan 22, 1981",2.23,42%,2.21,69%,3.76,63%,67%,0.9,grappler
Manon Fiorot,"5' 7""",125 lbs.,,Orthodox,"Feb 17, 1990",5.80,53%,1.86,79%,1.64,100%,100%,0.0,striker
Luiz Firmino,"5' 6""",154 lbs.,,Orthodox,"Mar 18, 1982",1.23,50%,1.22,51%,3.86,45%,20%,0.9,grappler
Spencer Fisher,"5' 7""",155 lbs.,"68""",Southpaw,"May 09, 1976",3.17,43%,3.03,64%,0.67,30%,60%,0.8,striker
Chris Fishgold,"5' 8""",145 lbs.,"68""",Orthodox,"Jun 06, 1992",2.01,32%,2.70,46%,2.59,46%,44%,1.3,submission specialist
Bryanna Fissori,"5' 4""",145 lbs.,,,,1.40,46%,1.20,57%,2.00,25%,50%,0.0,grappler
Jimmy Flick,"5' 7""",125 lbs.,"68""",Orthodox,"Sep 07, 1990",1.99,58%,2.30,50%,1.81,50%,0%,7.2,submission specialist
Ty Flores,"6' 3""",205 lbs.,"73""",Switch,"Dec 22, 1993",2.00,37%,7.80,25%,1.00,9%,0%,0.0,striker
Rafael Fiziev,"5' 8""",155 lbs.,"71""",Switch,"Mar 05, 1993",4.67,57%,4.17,55%,0.84,50%,100%,0.0,striker
Jon Fitch,"6' 0""",170 lbs.,"74""",Orthodox,"Feb 24, 1978",2.61,50%,1.65,54%,3.60,51%,56%,0.8,grappler
Kenny Florian,"5' 10""",145 lbs.,"74""",Southpaw,"May 26, 1976",2.41,40%,1.85,63%,2.22,33%,60%,1.3,submission specialist
Caros Fodor,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 07, 1984",2.76,54%,2.83,54%,2.10,25%,50%,0.0,striker
Rob Font,"5' 8""",135 lbs.,"71""",Orthodox,"Jun 25, 1987",5.21,42%,3.83,62%,1.20,36%,48%,0.8,striker
Jesse Forbes,"6' 2""",185 lbs.,"75""",Southpaw,"Oct 24, 1984",2.11,24%,4.06,53%,1.79,75%,66%,1.2,submission specialist
Marcel Fortuna,"6' 1""",205 lbs.,"74""",Orthodox,"Oct 22, 1985",3.83,46%,4.52,64%,0.45,8%,75%,0.5,striker
Jussier Formiga,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 14, 1985",1.42,39%,2.34,64%,1.82,35%,87%,0.6,grappler
Renee Forte,"5' 7""",155 lbs.,"71""",Orthodox,"Mar 27, 1987",2.08,32%,2.12,63%,2.32,58%,66%,0.0,grappler
Brian Foster,"5' 9""",170 lbs.,"71""",Orthodox,"Apr 03, 1984",3.30,39%,1.63,65%,3.67,60%,37%,1.8,submission specialist
John Franchi,"5' 6""",145 lbs.,"67""",Orthodox,"Jul 16, 1982",1.83,48%,2.59,48%,2.68,80%,40%,0.3,grappler
Hermes Franca,"5' 6""",155 lbs.,"71""",Orthodox,"Aug 26, 1974",1.78,39%,2.85,55%,1.53,36%,37%,2.4,submission specialist
Glaico Franca Moreira,"6' 0""",155 lbs.,"77""",Orthodox,"Feb 28, 1991",2.35,42%,3.46,47%,2.68,42%,76%,0.3,grappler
Rich Franklin,"6' 1""",185 lbs.,"76""",Southpaw,"Oct 05, 1974",4.10,44%,2.07,62%,1.31,66%,63%,0.7,striker
Ian Freeman,"5' 11""",225 lbs.,,Orthodox,"Nov 10, 1966",2.54,48%,3.11,44%,1.44,40%,80%,0.7,striker
Willamy Freire,"5' 8""",155 lbs.,,,"Jul 28, 1987",1.53,37%,0.93,62%,0.50,100%,73%,0.0,striker
Patricio Freire,"5' 5""",145 lbs.,"65""",,"Jul 07, 1987",2.84,41%,4.43,60%,0.60,18%,94%,0.6,striker
Patricky Freire,"5' 7""",155 lbs.,"71""",,"Jun 01, 1986",3.06,44%,3.34,69%,1.26,33%,100%,0.0,striker
Rafael Freitas,,205 lbs.,,Orthodox,,2.00,29%,8.00,51%,11.25,50%,0%,0.0,grappler
Donavon Frelow,"5' 7""",135 lbs.,,Orthodox,"Jan 20, 1985",2.40,27%,3.20,52%,1.00,100%,26%,0.0,striker
Matt Frevola,"5' 9""",155 lbs.,"71""",Orthodox,"Jun 11, 1990",2.73,37%,3.44,58%,2.59,37%,40%,1.1,submission specialist
Jinh Yu Frey,"5' 3""",115 lbs.,"65""",Southpaw,"May 20, 1985",1.79,40%,3.35,44%,1.06,42%,83%,0.7,striker
Don Frye,"6' 1""",219 lbs.,,Orthodox,"Nov 23, 1965",2.87,64%,3.57,37%,0.91,57%,45%,0.7,striker
Katsuhisa Fujii,"6' 0""",205 lbs.,,Orthodox,"Aug 15, 1972",4.00,50%,4.43,64%,2.14,25%,50%,2.1,submission specialist
Kazuyuki Fujita,"6' 0""",235 lbs.,,Orthodox,"Oct 16, 1970",1.05,49%,1.99,52%,2.78,36%,85%,0.6,grappler
Riki Fukuda,"6' 0""",185 lbs.,"73""",Southpaw,"Jan 06, 1981",4.24,43%,3.71,64%,2.17,43%,70%,0.0,striker
Masio Fullen,"5' 10""",145 lbs.,"70""",Orthodox,"Oct 06, 1986",2.46,32%,3.50,54%,0.47,33%,69%,0.0,striker
Ricardo Funch,"5' 10""",170 lbs.,"74""",Southpaw,"Aug 14, 1980",2.61,65%,3.57,40%,1.24,18%,60%,0.0,striker
Claudia Gadelha,"5' 4""",115 lbs.,"63""",Orthodox,"Dec 07, 1988",3.31,41%,4.57,57%,3.03,42%,58%,0.7,striker
Mitch Gagnon,"5' 5""",135 lbs.,"65""",Southpaw,"Oct 10, 1984",2.76,46%,2.21,61%,1.16,25%,65%,1.9,submission specialist
Travis Galbraith,"6' 0""",170 lbs.,,Orthodox,"May 18, 1981",2.21,40%,3.45,48%,1.33,25%,0%,1.3,submission specialist
Mickey Gall,"6' 2""",170 lbs.,"74""",Switch,"Jan 22, 1992",2.55,46%,3.65,42%,1.15,26%,40%,2.1,submission specialist
Tom Gallicchio,"5' 10""",170 lbs.,,Southpaw,"Sep 23, 1986",3.53,26%,7.07,43%,1.00,11%,0%,0.0,striker
Zelg Galesic,"6' 2""",185 lbs.,,Orthodox,"Feb 16, 1979",4.86,62%,0.61,66%,1.30,100%,20%,1.3,submission specialist
Marcos Galvao,"5' 7""",135 lbs.,,Orthodox,"Jun 23, 1981",1.97,32%,3.86,61%,2.27,28%,88%,1.1,submission specialist
Andre Galvao,"5' 7""",168 lbs.,,Orthodox,"Sep 29, 1982",2.34,52%,1.56,58%,2.02,27%,0%,2.8,submission specialist
Mateusz Gamrot,"5' 10""",155 lbs.,"70""",Southpaw,"Dec 11, 1990",3.47,41%,2.47,56%,5.00,31%,100%,0.0,grappler
Manvel Gamburyan,"5' 5""",135 lbs.,"67""",Orthodox,"May 08, 1981",2.13,41%,2.83,55%,3.26,34%,69%,0.7,grappler
Ariel Gandulla,"5' 11""",205 lbs.,,Orthodox,"May 07, 1968",1.95,23%,2.07,72%,1.88,66%,0%,0.0,striker
Eduardo Garagorri,"5' 9""",145 lbs.,"70""",Orthodox,"May 28, 1989",3.42,51%,2.36,58%,0.48,100%,61%,0.0,striker
Ciryl Gane,"6' 4""",245 lbs.,"81""",Orthodox,"Apr 12, 1990",5.04,55%,1.85,69%,1.13,26%,100%,0.5,striker
Cody Garbrandt,"5' 8""",135 lbs.,"65""",Orthodox,"Jul 07, 1991",3.35,37%,3.33,65%,0.84,33%,100%,0.0,striker
Leonard Garcia,"5' 10""",145 lbs.,"68""",Orthodox,"Jul 14, 1979",2.77,24%,4.79,52%,0.30,26%,42%,0.5,striker
Alejandro Garcia,"5' 7""",145 lbs.,,,,1.22,62%,1.14,65%,8.55,87%,66%,0.0,grappler
Edgar Garcia,"5' 10""",170 lbs.,"71""",Orthodox,"Feb 22, 1984",3.16,29%,4.23,60%,2.21,57%,50%,0.6,striker
Alex Garcia,"5' 9""",170 lbs.,"72""",Orthodox,"Jul 14, 1987",1.81,31%,3.03,59%,3.72,52%,66%,0.1,grappler
Steve Garcia,"6' 0""",155 lbs.,"75""",Southpaw,"May 22, 1992",4.31,55%,2.52,36%,0.61,25%,100%,0.6,striker
Elias Garcia,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 13, 1992",1.59,27%,5.05,50%,0.68,14%,33%,1.4,submission specialist
Rulon Gardner,"6' 3""",265 lbs.,,Orthodox,"Aug 16, 1971",2.05,25%,1.45,60%,0.75,100%,100%,0.0,striker
Pablo Garza,"6' 1""",145 lbs.,"73""",Orthodox,"Sep 16, 1983",3.37,44%,2.70,50%,0.94,25%,15%,1.3,submission specialist
Azamat Gashimov,"5' 6""",125 lbs.,,Orthodox,"Apr 07, 1990",1.24,21%,4.75,53%,1.69,25%,0%,0.0,grappler
Kelvin Gastelum,"5' 9""",185 lbs.,"71""",Southpaw,"Oct 24, 1991",3.64,43%,2.92,59%,1.22,39%,64%,0.1,striker
Louis Gaudinot,"5' 3""",125 lbs.,"63""",Orthodox,"Aug 28, 1984",2.34,37%,6.42,48%,0.57,40%,31%,1.1,submission specialist
Chad George,"5' 6""",135 lbs.,"68""",Southpaw,"Apr 30, 1982",1.26,50%,1.11,65%,3.08,46%,0%,1.3,submission specialist
Christos Giagos,"5' 10""",155 lbs.,"71""",Orthodox,"Jan 23, 1990",2.88,41%,2.59,51%,3.11,39%,50%,0.3,grappler
Joe Giannetti,"6' 0""",155 lbs.,"74""",Southpaw,"Jul 05, 1995",1.93,38%,2.80,40%,1.00,16%,0%,0.0,striker
Tiki Ghosn,"5' 10""",170 lbs.,,Orthodox,"Feb 09, 1977",2.78,46%,2.94,58%,0.41,50%,61%,0.0,striker
Cody Gibson,"5' 10""",135 lbs.,"71""",Orthodox,"Sep 11, 1987",2.47,31%,2.54,63%,1.85,38%,58%,0.4,striker
Thomas Gifford,"6' 1""",155 lbs.,"75""",Orthodox,"Jul 26, 1992",3.97,37%,6.45,37%,0.50,33%,33%,0.0,striker
Kultar Gill,"6' 0""",154 lbs.,,Orthodox,"Mar 24, 1979",1.14,50%,0.40,41%,1.71,66%,38%,0.0,grappler
Trevin Giles,"6' 0""",185 lbs.,"74""",Orthodox,"Aug 06, 1992",3.26,56%,1.88,62%,1.37,80%,79%,0.3,striker
Gregor Gillespie,"5' 7""",155 lbs.,"71""",Orthodox,"Nov 13, 1986",3.58,49%,2.14,60%,7.02,47%,0%,0.9,grappler
Alex Gilpin,"5' 7""",145 lbs.,,Orthodox,"Mar 26, 1992",6.80,54%,12.29,42%,2.17,25%,0%,2.2,submission specialist
Billy Giovanella,"5' 8""",125 lbs.,,,"Aug 20, 1985",1.27,40%,2.02,52%,0.87,12%,100%,1.7,submission specialist
Jason Glaza,"6' 0""",230 lbs.,,,,4.34,54%,0.43,40%,4.34,100%,0%,4.3,submission specialist
Joseph Gigliotti,"5' 11""",185 lbs.,,Orthodox,"Aug 13, 1993",1.04,39%,2.92,45%,1.56,100%,50%,0.8,grappler
Brandon Girtz,"5' 7""",155 lbs.,,,"Mar 06, 1985",2.50,60%,1.92,47%,5.76,100%,100%,0.0,grappler
Rick Glenn,"6' 0""",145 lbs.,"70""",Southpaw,"Apr 12, 1989",4.31,42%,4.29,53%,0.67,13%,66%,0.3,striker
Clint Godfrey,"5' 6""",135 lbs.,,Southpaw,"Oct 21, 1982",0.57,31%,0.96,65%,0.85,25%,50%,0.0,grappler
Allan Goes,"6' 0""",205 lbs.,,Orthodox,"Apr 20, 1971",0.64,52%,1.35,41%,1.75,40%,0%,2.6,submission specialist
Marcelo Golm,"6' 3""",249 lbs.,"75""",Orthodox,"Sep 15, 1992",4.27,58%,4.30,45%,0.45,50%,87%,0.5,striker
Sergio Gomez,"5' 6""",155 lbs.,,Orthodox,"Apr 29, 1982",1.50,42%,1.16,56%,2.57,66%,31%,0.0,grappler
Frank Gomez,"5' 10""",135 lbs.,"67""",Orthodox,"Mar 31, 1986",1.52,48%,0.79,66%,1.14,60%,70%,0.8,striker
Joey Gomez,"5' 10""",155 lbs.,"71""",Orthodox,"Aug 29, 1989",3.73,49%,3.33,50%,2.00,28%,0%,0.0,striker
Luis Gomez,"5' 7""",145 lbs.,"68""",Orthodox,"Jan 28, 1995",1.57,33%,4.03,55%,4.48,50%,33%,0.0,grappler
Akihiro Gono,"5' 7""",170 lbs.,"68""",Switch,"Oct 07, 1974",2.18,48%,2.67,63%,1.01,84%,46%,0.5,striker
Takanori Gomi,"5' 7""",155 lbs.,"70""",Southpaw,"Sep 22, 1978",3.81,41%,3.52,60%,1.23,65%,63%,0.8,striker
Gabriel Gonzaga,"6' 2""",242 lbs.,"76""",Orthodox,"May 18, 1979",2.12,45%,2.94,57%,2.80,39%,66%,1.1,submission specialist
Justin Gonzales,"5' 9""",145 lbs.,"72""",Orthodox,"Apr 28, 1991",6.67,80%,0.87,43%,14.00,73%,100%,0.0,grappler
Fernando Gonzalez,"5' 9""",170 lbs.,"68""",Southpaw,"Sep 15, 1983",4.47,47%,4.03,65%,0.86,33%,43%,1.4,submission specialist
Lewis Gonzalez,"5' 10""",170 lbs.,,Orthodox,"Sep 19, 1987",1.40,37%,1.87,41%,2.00,33%,62%,0.0,grappler
Pearl Gonzalez,"5' 4""",115 lbs.,,Orthodox,"Aug 12, 1986",2.23,37%,4.07,57%,1.04,11%,0%,0.5,striker
Jared Gooden,"6' 0""",170 lbs.,"77""",Orthodox,"Dec 05, 1993",6.67,47%,11.20,49%,1.00,100%,100%,0.0,striker
Lyman Good,"6' 0""",170 lbs.,"74""",Orthodox,"May 26, 1985",5.34,48%,4.01,63%,0.27,100%,75%,0.0,striker
Gary Goodridge,"6' 3""",249 lbs.,,Orthodox,"Jan 17, 1966",1.84,56%,2.14,48%,0.40,100%,53%,0.8,striker
Eddie Gordon,"6' 0""",185 lbs.,"76""",Orthodox,"Jul 22, 1983",2.03,32%,2.57,60%,1.93,83%,63%,0.0,striker
Jared Gordon,"5' 9""",145 lbs.,"68""",Orthodox,"Sep 06, 1988",5.54,56%,3.22,60%,2.81,39%,55%,0.0,striker
Tim Gorman,"5' 5""",135 lbs.,,Southpaw,"Apr 29, 1983",2.73,31%,5.57,46%,1.00,9%,33%,0.0,striker
Thibault Gouti,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 27, 1987",3.68,34%,5.64,50%,1.23,80%,83%,0.3,striker
Jonathan Goulet,"6' 0""",170 lbs.,"73""",Orthodox,"Jul 13, 1979",1.61,41%,2.01,46%,4.17,70%,45%,0.6,grappler
Chase Gormley,"6' 3""",265 lbs.,,Orthodox,,3.60,42%,6.03,44%,3.12,42%,0%,1.0,submission specialist
Todd Gouwenberg,"6' 1""",205 lbs.,,Orthodox,"Sep 25, 1974",0.52,23%,2.93,42%,1.57,33%,50%,0.0,grappler
Wilson Gouveia,"6' 1""",185 lbs.,"76""",Orthodox,"Oct 03, 1978",3.02,39%,4.06,56%,0.90,66%,57%,2.2,submission specialist
Crosley Gracie,"5' 9""",190 lbs.,,Orthodox,"Jul 18, 1979",1.69,37%,1.54,60%,3.46,85%,50%,0.6,grappler
Daniel Gracie,"6' 2""",225 lbs.,,Orthodox,,1.90,38%,1.33,59%,0.36,100%,80%,2.1,submission specialist
Renzo Gracie,"5' 10""",185 lbs.,,Orthodox,"Mar 11, 1967",1.71,41%,1.67,55%,1.13,20%,40%,0.8,striker
Ralek Gracie,"6' 2""",210 lbs.,,Orthodox,"Oct 04, 1985",1.61,46%,1.05,55%,2.50,75%,0%,1.7,submission specialist
Ryan Gracie,"5' 9""",200 lbs.,,Orthodox,"Aug 14, 1974",0.82,61%,0.50,40%,2.83,75%,25%,0.9,grappler
Rodrigo Gracie,"6' 0""",183 lbs.,,Orthodox,"Apr 11, 1975",1.34,51%,0.86,46%,1.49,50%,75%,0.4,grappler
Rolles Gracie,"6' 4""",242 lbs.,,Orthodox,"Jul 14, 1978",2.30,32%,3.38,55%,2.30,10%,0%,0.0,striker
Roger Gracie,"6' 4""",185 lbs.,"79""",Orthodox,"Sep 26, 1981",1.78,35%,1.79,61%,1.87,53%,60%,1.9,submission specialist
Igor Gracie,"5' 11""",170 lbs.,,,"Feb 04, 1980",1.86,60%,0.99,50%,3.72,50%,0%,3.7,submission specialist
Kron Gracie,"5' 9""",145 lbs.,"70""",Southpaw,"Jul 11, 1988",5.15,41%,8.13,53%,0.88,25%,0%,0.9,striker
Neiman Gracie,"6' 0""",170 lbs.,,,,0.77,100%,0.38,75%,5.77,100%,0%,5.8,submission specialist
Davey Grant,"5' 8""",135 lbs.,"69""",Orthodox,"Dec 18, 1985",3.93,47%,2.47,63%,2.30,45%,66%,0.2,striker
TJ Grant,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 26, 1984",3.95,54%,3.21,56%,1.63,43%,36%,0.6,striker
Tony Gravely,"5' 5""",135 lbs.,"69""",Orthodox,"Sep 28, 1991",3.69,55%,3.16,42%,5.60,51%,50%,0.8,grappler
Alexa Grasso,"5' 5""",125 lbs.,"66""",Orthodox,"Aug 09, 1993",4.96,43%,3.61,64%,0.28,40%,60%,0.6,striker
Shelton Graves,"6' 2""",255 lbs.,"76""",Southpaw,"Oct 23, 1985",2.19,69%,0.81,33%,4.86,57%,0%,0.0,grappler
Michael Graves,"5' 10""",170 lbs.,"71""",Orthodox,"Jan 08, 1991",1.25,54%,1.47,58%,4.80,52%,66%,0.4,grappler
Dwight Grant,"6' 1""",170 lbs.,"76""",Switch,"Sep 14, 1984",3.39,37%,2.16,69%,0.34,100%,78%,0.0,striker
Max Griffin,"5' 11""",170 lbs.,"76""",Orthodox,"Nov 29, 1985",4.14,48%,3.94,56%,1.70,51%,66%,0.5,striker
Tyson Griffin,"5' 6""",145 lbs.,"68""",Orthodox,"Apr 20, 1984",3.71,41%,2.30,65%,1.87,46%,59%,0.9,striker
Gabe Green,"5' 10""",170 lbs.,"73""",Switch,"May 02, 1993",6.57,46%,7.23,49%,1.00,100%,57%,0.5,striker
Bobby Green,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 09, 1986",5.17,51%,3.32,63%,1.56,41%,72%,0.3,striker
Matt Grice,"5' 8""",145 lbs.,"70""",Orthodox,"Jul 29, 1981",4.09,53%,2.69,56%,2.19,37%,82%,0.5,striker
Desmond Green,"5' 10""",155 lbs.,"73""",Southpaw,"Oct 11, 1989",3.70,46%,2.51,69%,1.62,50%,75%,0.0,striker
Forrest Griffin,"6' 3""",205 lbs.,"77""",Orthodox,"Mar 16, 1979",4.38,36%,2.81,61%,1.05,48%,57%,0.7,striker
